produce,month,status,is_meat,is_fish,is_fruit,is_veg
Raspberry,Jan,Out of season,FALSE,FALSE,TRUE,FALSE
Redcurrant,Jan,Out of season,FALSE,FALSE,TRUE,FALSE
Rhubarb,Jan,At its best,FALSE,FALSE,FALSE,TRUE
Runner bean,Jan,Out of season,FALSE,FALSE,FALSE,TRUE
Salmon,Jan,Out of season,FALSE,TRUE,FALSE,FALSE
Salsify,Jan,At its best,FALSE,FALSE,FALSE,TRUE
Samphire,Jan,Out of season,FALSE,FALSE,FALSE,TRUE
Sorrel,Jan,Out of season,FALSE,FALSE,FALSE,TRUE
Spinach,Jan,Out of season,FALSE,FALSE,FALSE,TRUE
Spring greens,Jan,Out of season,FALSE,FALSE,FALSE,TRUE
Spring lamb,Jan,Out of season,TRUE,FALSE,FALSE,FALSE
Spring onion,Jan,At its best,FALSE,FALSE,FALSE,TRUE
Strawberry,Jan,Out of season,FALSE,FALSE,TRUE,FALSE
Swede,Jan,At its best,FALSE,FALSE,FALSE,TRUE
Sweet potato,Jan,At its best,FALSE,FALSE,FALSE,TRUE
Sweetcorn,Jan,Out of season,FALSE,FALSE,FALSE,TRUE
Swiss chard,Jan,Out of season,FALSE,FALSE,FALSE,TRUE
Tayberry,Jan,Out of season,FALSE,FALSE,TRUE,FALSE
Tomato,Jan,Out of season,FALSE,FALSE,TRUE,FALSE
Tuna,Jan,Out of season,FALSE,TRUE,FALSE,FALSE
Turkey,Jan,Out of season,TRUE,FALSE,FALSE,FALSE
Turnip,Jan,At its best,FALSE,FALSE,FALSE,TRUE
Venison,Jan,At its best,TRUE,FALSE,FALSE,FALSE
Watercress,Jan,Out of season,FALSE,FALSE,FALSE,TRUE
Watermelon,Jan,Out of season,FALSE,FALSE,TRUE,FALSE
White asparagus,Jan,Out of season,FALSE,FALSE,FALSE,TRUE
Whiting,Jan,At its best,FALSE,TRUE,FALSE,FALSE
Apple,Feb,At its best,FALSE,FALSE,TRUE,FALSE
Apricot,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
Asparagus,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Aubergine,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Banana,Feb,At its best,FALSE,FALSE,TRUE,FALSE
Basil,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Beef,Feb,At its best,TRUE,FALSE,FALSE,FALSE
Beetroot,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Blackberry,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
Blackcurrants,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
Bramley apple,Feb,At its best,FALSE,FALSE,TRUE,FALSE
Broad bean,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Broccoli,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Brussels sprouts,Feb,At its best,FALSE,FALSE,FALSE,TRUE
Cabbage,Feb,At its best,FALSE,FALSE,FALSE,TRUE
Carrot,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Cauliflower,Feb,At its best,FALSE,FALSE,FALSE,TRUE
Cavolo nero,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Celeriac,Feb,At its best,FALSE,FALSE,FALSE,TRUE
Celery,Feb,At its best,FALSE,FALSE,FALSE,TRUE
Cherry,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
Chervil,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Chestnut,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Chicken,Feb,At its best,TRUE,FALSE,FALSE,FALSE
Chicory,Feb,At its best,FALSE,FALSE,FALSE,TRUE
Clementine,Feb,At its best,FALSE,FALSE,TRUE,FALSE
Cod,Feb,At its best,FALSE,TRUE,FALSE,FALSE
Courgette,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Courgette flower,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Crab,Feb,Out of season,FALSE,TRUE,FALSE,FALSE
Crab apple,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
Cranberry,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
Damson,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
Date,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
Duck,Feb,Out of season,TRUE,FALSE,FALSE,FALSE
Elderberries,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
Fennel bulb,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Fig,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
Garlic,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Globe artichoke,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Goose,Feb,Out of season,TRUE,FALSE,FALSE,FALSE
Gooseberry,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
Grapefruit,Feb,At its best,FALSE,FALSE,TRUE,FALSE
Grouse,Feb,Out of season,TRUE,FALSE,FALSE,FALSE
Guinea fowl,Feb,Out of season,TRUE,FALSE,FALSE,FALSE
Halibut,Feb,Out of season,FALSE,TRUE,FALSE,FALSE
Jerusalem artichoke,Feb,At its best,FALSE,FALSE,FALSE,TRUE
Kale,Feb,At its best,FALSE,FALSE,FALSE,TRUE
Kipper,Feb,Out of season,FALSE,TRUE,FALSE,FALSE
Kohlrabi,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Lamb,Feb,At its best,TRUE,FALSE,FALSE,FALSE
Lamb's lettuce,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Leek,Feb,At its best,FALSE,FALSE,FALSE,TRUE
Lemon,Feb,At its best,FALSE,FALSE,TRUE,FALSE
Lettuce,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Loganberry,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
Mackerel,Feb,Out of season,FALSE,TRUE,FALSE,FALSE
Mangetout,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Marrow,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Mint,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Mussels,Feb,At its best,FALSE,TRUE,FALSE,FALSE
Nectarine,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
New potatoes,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Onion,Feb,At its best,FALSE,FALSE,FALSE,TRUE
Orange,Feb,At its best,FALSE,FALSE,TRUE,FALSE
Oyster,Feb,At its best,FALSE,TRUE,FALSE,FALSE
Pak choi,Feb,At its best,FALSE,FALSE,FALSE,TRUE
Parsnip,Feb,At its best,FALSE,FALSE,FALSE,TRUE
Peach,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
Pear,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
Peas,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Pepper,Feb,Coming in,FALSE,FALSE,FALSE,TRUE
Plum,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
Pomegranate,Feb,At its best,FALSE,FALSE,TRUE,FALSE
Pork,Feb,At its best,TRUE,FALSE,FALSE,FALSE
Potato,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Pumpkin,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Purple sprouting broccoli,Feb,At its best,FALSE,FALSE,FALSE,TRUE
Quince,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
Radicchio,Feb,At its best,FALSE,FALSE,FALSE,TRUE
Radish,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Raspberry,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
Redcurrant,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
Rhubarb,Feb,At its best,FALSE,FALSE,FALSE,TRUE
Runner bean,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Salmon,Feb,Out of season,FALSE,TRUE,FALSE,FALSE
Salsify,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Samphire,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Sorrel,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Spinach,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Spring greens,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Spring lamb,Feb,At its best,TRUE,FALSE,FALSE,FALSE
Spring onion,Feb,At its best,FALSE,FALSE,FALSE,TRUE
Strawberry,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
