produce,month,status,is_meat,is_fish,is_fruit,is_veg
Radicchio,Apr,At its best,FALSE,FALSE,FALSE,TRUE
Radish,Apr,Coming in,FALSE,FALSE,FALSE,TRUE
Raspberry,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Redcurrant,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Rhubarb,Apr,At its best,FALSE,FALSE,FALSE,TRUE
Runner bean,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Salmon,Apr,At its best,FALSE,TRUE,FALSE,FALSE
Salsify,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Samphire,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Sorrel,Apr,At its best,FALSE,FALSE,FALSE,TRUE
Spinach,Apr,At its best,FALSE,FALSE,FALSE,TRUE
Spring greens,Apr,At its best,FALSE,FALSE,FALSE,TRUE
Spring lamb,Apr,At its best,TRUE,FALSE,FALSE,FALSE
Spring onion,Apr,At its best,FALSE,FALSE,FALSE,TRUE
Strawberry,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Swede,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Sweet potato,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Sweetcorn,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Swiss chard,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Tayberry,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Tomato,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
Tuna,Apr,Out of season,FALSE,TRUE,FALSE,FALSE
Turkey,Apr,Out of season,TRUE,FALSE,FALSE,FALSE
Turnip,Apr,Out of season,FALSE,FALSE,FALSE,TRUE
Venison,Apr,Out of season,TRUE,FALSE,FALSE,FALSE
Watercress,Apr,At its best,FALSE,FALSE,FALSE,TRUE
Watermelon,Apr,Out of season,FALSE,FALSE,TRUE,FALSE
White asparagus,Apr,At its best,FALSE,FALSE,FALSE,TRUE
Whiting,Apr,Out of season,FALSE,TRUE,FALSE,FALSE
Apple,May,Out of season,FALSE,FALSE,TRUE,FALSE
Apricot,May,At its best,FALSE,FALSE,TRUE,FALSE
Asparagus,May,Coming in,FALSE,FALSE,FALSE,TRUE
Aubergine,May,Coming in,FALSE,FALSE,FALSE,TRUE
Banana,May,At its best,FALSE,FALSE,TRUE,FALSE
Basil,May,Out of season,FALSE,FALSE,FALSE,TRUE
Beef,May,At its best,TRUE,FALSE,FALSE,FALSE
Beetroot,May,Out of season,FALSE,FALSE,FALSE,TRUE
Blackberry,May,Out of season,FALSE,FALSE,TRUE,FALSE
Blackcurrants,May,Coming in,FALSE,FALSE,TRUE,FALSE
Bramley apple,May,Out of season,FALSE,FALSE,TRUE,FALSE
Broad bean,May,Out of season,FALSE,FALSE,FALSE,TRUE
Broccoli,May,Out of season,FALSE,FALSE,FALSE,TRUE
Brussels sprouts,May,Out of season,FALSE,FALSE,FALSE,TRUE
Cabbage,May,At its best,FALSE,FALSE,FALSE,TRUE
Carrot,May,Coming in,FALSE,FALSE,FALSE,TRUE
Cauliflower,May,Out of season,FALSE,FALSE,FALSE,TRUE
Cavolo nero,May,Out of season,FALSE,FALSE,FALSE,TRUE
Celeriac,May,Out of season,FALSE,FALSE,FALSE,TRUE
Celery,May,Out of season,FALSE,FALSE,FALSE,TRUE
Cherry,May,Out of season,FALSE,FALSE,TRUE,FALSE
Chervil,May,At its best,FALSE,FALSE,FALSE,TRUE
Chestnut,May,Out of season,FALSE,FALSE,FALSE,TRUE
Chicken,May,At its best,TRUE,FALSE,FALSE,FALSE
Chicory,May,Out of season,FALSE,FALSE,FALSE,TRUE
Clementine,May,Out of season,FALSE,FALSE,TRUE,FALSE
Cod,May,Out of season,FALSE,TRUE,FALSE,FALSE
Courgette,May,Out of season,FALSE,FALSE,FALSE,TRUE
Courgette flower,May,Out of season,FALSE,FALSE,FALSE,TRUE
Crab,May,At its best,FALSE,TRUE,FALSE,FALSE
Crab apple,May,Out of season,FALSE,FALSE,TRUE,FALSE
Cranberry,May,Out of season,FALSE,FALSE,TRUE,FALSE
Damson,May,Out of season,FALSE,FALSE,TRUE,FALSE
Date,May,Out of season,FALSE,FALSE,TRUE,FALSE
Duck,May,Out of season,TRUE,FALSE,FALSE,FALSE
Elderberries,May,Out of season,FALSE,FALSE,TRUE,FALSE
Fennel bulb,May,Out of season,FALSE,FALSE,FALSE,TRUE
Fig,May,Out of season,FALSE,FALSE,TRUE,FALSE
Garlic,May,Out of season,FALSE,FALSE,FALSE,TRUE
Globe artichoke,May,Coming in,FALSE,FALSE,FALSE,TRUE
Goose,May,Out of season,TRUE,FALSE,FALSE,FALSE
Gooseberry,May,Coming in,FALSE,FALSE,TRUE,FALSE
Grapefruit,May,At its best,FALSE,FALSE,TRUE,FALSE
Grouse,May,Out of season,TRUE,FALSE,FALSE,FALSE
Guinea fowl,May,Out of season,TRUE,FALSE,FALSE,FALSE
Halibut,May,At its best,FALSE,TRUE,FALSE,FALSE
Jerusalem artichoke,May,Out of season,FALSE,FALSE,FALSE,TRUE
Kale,May,Out of season,FALSE,FALSE,FALSE,TRUE
Kipper,May,At its best,FALSE,TRUE,FALSE,FALSE
Kohlrabi,May,Out of season,FALSE,FALSE,FALSE,TRUE
Lamb,May,At its best,TRUE,FALSE,FALSE,FALSE
Lamb's lettuce,May,At its best,FALSE,FALSE,FALSE,TRUE
Leek,May,Out of season,FALSE,FALSE,FALSE,TRUE
Lemon,May,Out of season,FALSE,FALSE,TRUE,FALSE
Lettuce,May,At its best,FALSE,FALSE,FALSE,TRUE
Loganberry,May,Out of season,FALSE,FALSE,TRUE,FALSE
Mackerel,May,At its best,FALSE,TRUE,FALSE,FALSE
Mangetout,May,Out of season,FALSE,FALSE,FALSE,TRUE
Marrow,May,Out of season,FALSE,FALSE,FALSE,TRUE
Mint,May,At its best,FALSE,FALSE,FALSE,TRUE
Mussels,May,Out of season,FALSE,TRUE,FALSE,FALSE
Nectarine,May,At its best,FALSE,FALSE,TRUE,FALSE
New potatoes,May,At its best,FALSE,FALSE,FALSE,TRUE
Onion,May,At its best,FALSE,FALSE,FALSE,TRUE
Orange,May,Out of season,FALSE,FALSE,TRUE,FALSE
Oyster,May,Out of season,FALSE,TRUE,FALSE,FALSE
Pak choi,May,At its best,FALSE,FALSE,FALSE,TRUE
Parsnip,May,Out of season,FALSE,FALSE,FALSE,TRUE
Peach,May,Out of season,FALSE,FALSE,TRUE,FALSE
Pear,May,Out of season,FALSE,FALSE,TRUE,FALSE
Peas,May,At its best,FALSE,FALSE,FALSE,TRUE
Pepper,May,At its best,FALSE,FALSE,FALSE,TRUE
Plum,May,Out of season,FALSE,FALSE,TRUE,FALSE
Pomegranate,May,At its best,FALSE,FALSE,TRUE,FALSE
Pork,May,At its best,TRUE,FALSE,FALSE,FALSE
Potato,May,At its best,FALSE,FALSE,FALSE,TRUE
Pumpkin,May,Out of season,FALSE,FALSE,FALSE,TRUE
Purple sprouting broccoli,May,Out of season,FALSE,FALSE,FALSE,TRUE
Quince,May,Out of season,FALSE,FALSE,TRUE,FALSE
Radicchio,May,At its best,FALSE,FALSE,FALSE,TRUE
Radish,May,At its best,FALSE,FALSE,FALSE,TRUE
Raspberry,May,Out of season,FALSE,FALSE,TRUE,FALSE
Redcurrant,May,Out of season,FALSE,FALSE,TRUE,FALSE
Rhubarb,May,At its best,FALSE,FALSE,FALSE,TRUE
Runner bean,May,Out of season,FALSE,FALSE,FALSE,TRUE
Salmon,May,At its best,FALSE,TRUE,FALSE,FALSE
Salsify,May,Out of season,FALSE,FALSE,FALSE,TRUE
Samphire,May,Out of season,FALSE,FALSE,FALSE,TRUE
Sorrel,May,At its best,FALSE,FALSE,FALSE,TRUE
Spinach,May,At its best,FALSE,FALSE,FALSE,TRUE
Spring greens,May,At its best,FALSE,FALSE,FALSE,TRUE
Spring lamb,May,At its best,TRUE,FALSE,FALSE,FALSE
Spring onion,May,At its best,FALSE,FALSE,FALSE,TRUE
Strawberry,May,Coming in,FALSE,FALSE,TRUE,FALSE
Swede,May,Out of season,FALSE,FALSE,FALSE,TRUE
Sweet potato,May,Out of season,FALSE,FALSE,FALSE,TRUE
Sweetcorn,May,Out of season,FALSE,FALSE,FALSE,TRUE
Swiss chard,May,Out of season,FALSE,FALSE,FALSE,TRUE
Tayberry,May,Out of season,FALSE,FALSE,TRUE,FALSE
Tomato,May,Coming in,FALSE,FALSE,TRUE,FALSE
Tuna,May,At its best,FALSE,TRUE,FALSE,FALSE
Turkey,May,Out of season,TRUE,FALSE,FALSE,FALSE
Turnip,May,Out of season,FALSE,FALSE,FALSE,TRUE
Venison,May,Out of season,TRUE,FALSE,FALSE,FALSE
Watercress,May,At its best,FALSE,FALSE,FALSE,TRUE
Watermelon,May,Out of season,FALSE,FALSE,TRUE,FALSE
White asparagus,May,At its best,FALSE,FALSE,FALSE,TRUE
Whiting,May,Out of season,FALSE,TRUE,FALSE,FALSE
Apple,Jun,Out of season,FALSE,FALSE,TRUE,FALSE
Apricot,Jun,At its best,FALSE,FALSE,TRUE,FALSE
Asparagus,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Aubergine,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Banana,Jun,At its best,FALSE,FALSE,TRUE,FALSE
Basil,Jun,Coming in,FALSE,FALSE,FALSE,TRUE
Beef,Jun,At its best,TRUE,FALSE,FALSE,FALSE
Beetroot,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Blackberry,Jun,Out of season,FALSE,FALSE,TRUE,FALSE
Blackcurrants,Jun,At its best,FALSE,FALSE,TRUE,FALSE
Bramley apple,Jun,Out of season,FALSE,FALSE,TRUE,FALSE
Broad bean,Jun,Coming in,FALSE,FALSE,FALSE,TRUE
Broccoli,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Brussels sprouts,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Cabbage,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Carrot,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Cauliflower,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Cavolo nero,Jun,Coming in,FALSE,FALSE,FALSE,TRUE
Celeriac,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Celery,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Cherry,Jun,Coming in,FALSE,FALSE,TRUE,FALSE
Chervil,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Chestnut,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Chicken,Jun,At its best,TRUE,FALSE,FALSE,FALSE
Chicory,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Clementine,Jun,Out of season,FALSE,FALSE,TRUE,FALSE
Cod,Jun,Out of season,FALSE,TRUE,FALSE,FALSE
Courgette,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Courgette flower,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Crab,Jun,At its best,FALSE,TRUE,FALSE,FALSE
Crab apple,Jun,Out of season,FALSE,FALSE,TRUE,FALSE
Cranberry,Jun,Out of season,FALSE,FALSE,TRUE,FALSE
Damson,Jun,Out of season,FALSE,FALSE,TRUE,FALSE
Date,Jun,Out of season,FALSE,FALSE,TRUE,FALSE
Duck,Jun,Out of season,TRUE,FALSE,FALSE,FALSE
Elderberries,Jun,Out of season,FALSE,FALSE,TRUE,FALSE
Fennel bulb,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Fig,Jun,Out of season,FALSE,FALSE,TRUE,FALSE
Garlic,Jun,Coming in,FALSE,FALSE,FALSE,TRUE
Globe artichoke,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Goose,Jun,Out of season,TRUE,FALSE,FALSE,FALSE
Gooseberry,Jun,At its best,FALSE,FALSE,TRUE,FALSE
Grapefruit,Jun,Out of season,FALSE,FALSE,TRUE,FALSE
Grouse,Jun,Out of season,TRUE,FALSE,FALSE,FALSE
Guinea fowl,Jun,Out of season,TRUE,FALSE,FALSE,FALSE
Halibut,Jun,At its best,FALSE,TRUE,FALSE,FALSE
Jerusalem artichoke,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Kale,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Kipper,Jun,At its best,FALSE,TRUE,FALSE,FALSE
Kohlrabi,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Lamb,Jun,At its best,TRUE,FALSE,FALSE,FALSE
Lamb's lettuce,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Leek,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Lemon,Jun,Out of season,FALSE,FALSE,TRUE,FALSE
Lettuce,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Loganberry,Jun,Out of season,FALSE,FALSE,TRUE,FALSE
Mackerel,Jun,At its best,FALSE,TRUE,FALSE,FALSE
Mangetout,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Marrow,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Mint,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Mussels,Jun,Out of season,FALSE,TRUE,FALSE,FALSE
Nectarine,Jun,At its best,FALSE,FALSE,TRUE,FALSE
New potatoes,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Onion,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Orange,Jun,Out of season,FALSE,FALSE,TRUE,FALSE
Oyster,Jun,Out of season,FALSE,TRUE,FALSE,FALSE
Pak choi,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Parsnip,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Peach,Jun,Out of season,FALSE,FALSE,TRUE,FALSE
Pear,Jun,Out of season,FALSE,FALSE,TRUE,FALSE
Peas,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Pepper,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Plum,Jun,Out of season,FALSE,FALSE,TRUE,FALSE
Pomegranate,Jun,At its best,FALSE,FALSE,TRUE,FALSE
Pork,Jun,At its best,TRUE,FALSE,FALSE,FALSE
Potato,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Pumpkin,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Purple sprouting broccoli,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Quince,Jun,Out of season,FALSE,FALSE,TRUE,FALSE
Radicchio,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Radish,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Raspberry,Jun,Coming in,FALSE,FALSE,TRUE,FALSE
Redcurrant,Jun,Coming in,FALSE,FALSE,TRUE,FALSE
Rhubarb,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Runner bean,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Salmon,Jun,At its best,FALSE,TRUE,FALSE,FALSE
Salsify,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Samphire,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Sorrel,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Spinach,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Spring greens,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Spring lamb,Jun,At its best,TRUE,FALSE,FALSE,FALSE
Spring onion,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Strawberry,Jun,At its best,FALSE,FALSE,TRUE,FALSE
Swede,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Sweet potato,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Sweetcorn,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Swiss chard,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Tayberry,Jun,Out of season,FALSE,FALSE,TRUE,FALSE
Tomato,Jun,At its best,FALSE,FALSE,TRUE,FALSE
Tuna,Jun,At its best,FALSE,TRUE,FALSE,FALSE
Turkey,Jun,Out of season,TRUE,FALSE,FALSE,FALSE
Turnip,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Venison,Jun,Out of season,TRUE,FALSE,FALSE,FALSE
Watercress,Jun,At its best,FALSE,FALSE,FALSE,TRUE
Watermelon,Jun,Coming in,FALSE,FALSE,TRUE,FALSE
White asparagus,Jun,Out of season,FALSE,FALSE,FALSE,TRUE
Whiting,Jun,At its best,FALSE,TRUE,FALSE,FALSE
Apple,Jul,Out of season,FALSE,FALSE,TRUE,FALSE
Apricot,Jul,At its best,FALSE,FALSE,TRUE,FALSE
Asparagus,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Aubergine,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Banana,Jul,At its best,FALSE,FALSE,TRUE,FALSE
Basil,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Beef,Jul,At its best,TRUE,FALSE,FALSE,FALSE
Beetroot,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Blackberry,Jul,Coming in,FALSE,FALSE,TRUE,FALSE
Blackcurrants,Jul,At its best,FALSE,FALSE,TRUE,FALSE
Bramley apple,Jul,Out of season,FALSE,FALSE,TRUE,FALSE
Broad bean,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Broccoli,Jul,Coming in,FALSE,FALSE,FALSE,TRUE
Brussels sprouts,Jul,Out of season,FALSE,FALSE,FALSE,TRUE
Cabbage,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Carrot,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Cauliflower,Jul,Out of season,FALSE,FALSE,FALSE,TRUE
Cavolo nero,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Celeriac,Jul,Out of season,FALSE,FALSE,FALSE,TRUE
Celery,Jul,Coming in,FALSE,FALSE,FALSE,TRUE
Cherry,Jul,At its best,FALSE,FALSE,TRUE,FALSE
Chervil,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Chestnut,Jul,Out of season,FALSE,FALSE,FALSE,TRUE
Chicken,Jul,At its best,TRUE,FALSE,FALSE,FALSE
Chicory,Jul,Out of season,FALSE,FALSE,FALSE,TRUE
Clementine,Jul,Out of season,FALSE,FALSE,TRUE,FALSE
Cod,Jul,Out of season,FALSE,TRUE,FALSE,FALSE
Courgette,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Courgette flower,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Crab,Jul,At its best,FALSE,TRUE,FALSE,FALSE
Crab apple,Jul,Out of season,FALSE,FALSE,TRUE,FALSE
Cranberry,Jul,Out of season,FALSE,FALSE,TRUE,FALSE
Damson,Jul,Out of season,FALSE,FALSE,TRUE,FALSE
Date,Jul,Out of season,FALSE,FALSE,TRUE,FALSE
Duck,Jul,Out of season,TRUE,FALSE,FALSE,FALSE
Elderberries,Jul,Out of season,FALSE,FALSE,TRUE,FALSE
Fennel bulb,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Fig,Jul,Coming in,FALSE,FALSE,TRUE,FALSE
Garlic,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Globe artichoke,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Goose,Jul,Out of season,TRUE,FALSE,FALSE,FALSE
Gooseberry,Jul,At its best,FALSE,FALSE,TRUE,FALSE
Grapefruit,Jul,Out of season,FALSE,FALSE,TRUE,FALSE
Grouse,Jul,Out of season,TRUE,FALSE,FALSE,FALSE
Guinea fowl,Jul,Out of season,TRUE,FALSE,FALSE,FALSE
Halibut,Jul,At its best,FALSE,TRUE,FALSE,FALSE
Jerusalem artichoke,Jul,Out of season,FALSE,FALSE,FALSE,TRUE
Kale,Jul,Out of season,FALSE,FALSE,FALSE,TRUE
Kipper,Jul,At its best,FALSE,TRUE,FALSE,FALSE
Kohlrabi,Jul,Coming in,FALSE,FALSE,FALSE,TRUE
Lamb,Jul,At its best,TRUE,FALSE,FALSE,FALSE
Lamb's lettuce,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Leek,Jul,Out of season,FALSE,FALSE,FALSE,TRUE
Lemon,Jul,Out of season,FALSE,FALSE,TRUE,FALSE
Lettuce,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Loganberry,Jul,Out of season,FALSE,FALSE,TRUE,FALSE
Mackerel,Jul,At its best,FALSE,TRUE,FALSE,FALSE
Mangetout,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Marrow,Jul,Coming in,FALSE,FALSE,FALSE,TRUE
Mint,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Mussels,Jul,Out of season,FALSE,TRUE,FALSE,FALSE
Nectarine,Jul,At its best,FALSE,FALSE,TRUE,FALSE
New potatoes,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Onion,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Orange,Jul,Out of season,FALSE,FALSE,TRUE,FALSE
Oyster,Jul,Out of season,FALSE,TRUE,FALSE,FALSE
Pak choi,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Parsnip,Jul,Out of season,FALSE,FALSE,FALSE,TRUE
Peach,Jul,Coming in,FALSE,FALSE,TRUE,FALSE
Pear,Jul,Out of season,FALSE,FALSE,TRUE,FALSE
Peas,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Pepper,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Plum,Jul,Out of season,FALSE,FALSE,TRUE,FALSE
Pomegranate,Jul,At its best,FALSE,FALSE,TRUE,FALSE
Pork,Jul,At its best,TRUE,FALSE,FALSE,FALSE
Potato,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Pumpkin,Jul,Out of season,FALSE,FALSE,FALSE,TRUE
Purple sprouting broccoli,Jul,Out of season,FALSE,FALSE,FALSE,TRUE
Quince,Jul,Out of season,FALSE,FALSE,TRUE,FALSE
Radicchio,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Radish,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Raspberry,Jul,At its best,FALSE,FALSE,TRUE,FALSE
Redcurrant,Jul,At its best,FALSE,FALSE,TRUE,FALSE
Rhubarb,Jul,Out of season,FALSE,FALSE,FALSE,TRUE
Runner bean,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Salmon,Jul,At its best,FALSE,TRUE,FALSE,FALSE
Salsify,Jul,Out of season,FALSE,FALSE,FALSE,TRUE
Samphire,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Sorrel,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Spinach,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Spring greens,Jul,Out of season,FALSE,FALSE,FALSE,TRUE
Spring lamb,Jul,Out of season,TRUE,FALSE,FALSE,FALSE
Spring onion,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Strawberry,Jul,At its best,FALSE,FALSE,TRUE,FALSE
Swede,Jul,Out of season,FALSE,FALSE,FALSE,TRUE
Sweet potato,Jul,Out of season,FALSE,FALSE,FALSE,TRUE
Sweetcorn,Jul,Out of season,FALSE,FALSE,FALSE,TRUE
Swiss chard,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Tayberry,Jul,At its best,FALSE,FALSE,TRUE,FALSE
Tomato,Jul,At its best,FALSE,FALSE,TRUE,FALSE
Tuna,Jul,At its best,FALSE,TRUE,FALSE,FALSE
Turkey,Jul,Out of season,TRUE,FALSE,FALSE,FALSE
Turnip,Jul,Out of season,FALSE,FALSE,FALSE,TRUE
Venison,Jul,Out of season,TRUE,FALSE,FALSE,FALSE
Watercress,Jul,At its best,FALSE,FALSE,FALSE,TRUE
Watermelon,Jul,At its best,FALSE,FALSE,TRUE,FALSE
White asparagus,Jul,Out of season,FALSE,FALSE,FALSE,TRUE
Whiting,Jul,At its best,FALSE,TRUE,FALSE,FALSE
Apple,Aug,Out of season,FALSE,FALSE,TRUE,FALSE
Apricot,Aug,At its best,FALSE,FALSE,TRUE,FALSE
Asparagus,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Aubergine,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Banana,Aug,At its best,FALSE,FALSE,TRUE,FALSE
Basil,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Beef,Aug,At its best,TRUE,FALSE,FALSE,FALSE
Beetroot,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Blackberry,Aug,At its best,FALSE,FALSE,TRUE,FALSE
Blackcurrants,Aug,Out of season,FALSE,FALSE,TRUE,FALSE
Bramley apple,Aug,Out of season,FALSE,FALSE,TRUE,FALSE
Broad bean,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Broccoli,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Brussels sprouts,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Cabbage,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Carrot,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Cauliflower,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Cavolo nero,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Celeriac,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Celery,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Cherry,Aug,Out of season,FALSE,FALSE,TRUE,FALSE
Chervil,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Chestnut,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Chicken,Aug,At its best,TRUE,FALSE,FALSE,FALSE
Chicory,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Clementine,Aug,Out of season,FALSE,FALSE,TRUE,FALSE
Cod,Aug,Out of season,FALSE,TRUE,FALSE,FALSE
Courgette,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Courgette flower,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Crab,Aug,At its best,FALSE,TRUE,FALSE,FALSE
Crab apple,Aug,At its best,FALSE,FALSE,TRUE,FALSE
Cranberry,Aug,Out of season,FALSE,FALSE,TRUE,FALSE
Damson,Aug,Coming in,FALSE,FALSE,TRUE,FALSE
Date,Aug,Out of season,FALSE,FALSE,TRUE,FALSE
Duck,Aug,Out of season,TRUE,FALSE,FALSE,FALSE
Elderberries,Aug,At its best,FALSE,FALSE,TRUE,FALSE
Fennel bulb,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Fig,Aug,At its best,FALSE,FALSE,TRUE,FALSE
Garlic,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Globe artichoke,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Goose,Aug,Coming in,TRUE,FALSE,FALSE,FALSE
Gooseberry,Aug,At its best,FALSE,FALSE,TRUE,FALSE
Grapefruit,Aug,Out of season,FALSE,FALSE,TRUE,FALSE
Grouse,Aug,At its best,TRUE,FALSE,FALSE,FALSE
Guinea fowl,Aug,Coming in,TRUE,FALSE,FALSE,FALSE
Halibut,Aug,At its best,FALSE,TRUE,FALSE,FALSE
Jerusalem artichoke,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Kale,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Kipper,Aug,At its best,FALSE,TRUE,FALSE,FALSE
Kohlrabi,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Lamb,Aug,At its best,TRUE,FALSE,FALSE,FALSE
Lamb's lettuce,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Leek,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Lemon,Aug,Out of season,FALSE,FALSE,TRUE,FALSE
Lettuce,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Loganberry,Aug,At its best,FALSE,FALSE,TRUE,FALSE
Mackerel,Aug,At its best,FALSE,TRUE,FALSE,FALSE
Mangetout,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Marrow,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Mint,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Mussels,Aug,Out of season,FALSE,TRUE,FALSE,FALSE
